,0,0,0,0,0,0,0,0
Mic,PA 1,PA 2,PA 3,PA 4,PA 5,PA 6,PA 7,PA 8
Speaker,,,,,,,,
Speaker 1,1.0587500000000016,1.0600138888888904,1.060305555555557,1.0648888888888874,1.064944444444443,1.060972222222223,1.0615833333333338,1.0602222222222235
Speaker 2,1.1200000000000019,1.1200000000000019,1.1200000000000019,1.1243472222222224,1.1220694444444455,1.125,1.125,1.1200000000000019
Speaker 3,1.1155416666666653,1.117652777777778,1.1159305555555543,1.1181944444444452,1.1196527777777794,1.1182638888888896,1.115222222222221,1.115041666666665
Speaker 4,1.0431425732722488,1.0448750000000013,1.0592159197012145,1.0611388888888895,1.0592083333333324,1.06051388888889,1.060875000000001,1.0439444444444461
Speaker 5,1.1107500000000001,1.1119305555555548,1.11,1.1139861111111096,1.1149722222222205,1.1149722222222207,1.1140555555555547,1.1100416666666666
Speaker 6,1.0804999999999987,1.0847083333333307,1.0851249999999977,1.0849305555555533,1.085055555555553,1.0850416666666645,1.0846527777777755,1.077986111111111
Speaker 7,1.1398472222222218,1.1393194444444446,1.1379861111111118,1.1399999999999997,1.1400416666666662,1.1395972222222222,1.1398749999999997,1.1387777777777777
Speaker 8,1.0900138888888913,1.0905000000000022,1.1040416666666675,1.0943194444444442,1.0919444444444457,1.0900000000000025,1.0900000000000025,1.0889583333333352
