2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-100,7.345,7.35,7.35,7.345,7.35,7.345,7.355,7.355,7.35,7.34,7.34,7.34,7.34,7.34,7.335,7.34,7.34,7.345,7.345,7.345,7.35,7.35,7.355,7.36,7.355,7.355,7.355,7.355,7.355,7.35,7.345,7.345,7.335,7.335,7.33,7.33,7.33,7.325,7.325,7.33,7.34,7.34,7.34,7.34,7.34,7.34,7.34,7.34,7.345,7.345,7.345,7.345,7.34,7.345,7.345,7.35,7.355,7.365,7.365,7.36,7.36,7.35,7.345,7.35,7.345,7.345,7.345,7.345,7.35,7.355,7.36,7.36,7.355,7.355,7.35,7.355,7.355,7.355,7.355,7.35,7.35,7.345,7.34,7.34,7.34,7.335,7.345,7.35,7.36,7.36,7.36,7.35,7.355,7.35,7.345,7.345,7.335,7.335,7.34,7.335,7.33,7.335,7.335,7.33,7.325,7.325,7.315,7.345,7.335,7.34,7.35,7.345,7.35,7.35,7.355,7.355,7.35,7.36,7.36,7.355
,7.34,7.33,7.33,7.335,7.335,7.33,7.33,7.335,7.33,7.33,7.335,7.345,7.35,7.35,7.35,7.345,7.345,7.34,7.34,7.34,7.335,7.325,7.32,7.325,7.335,7.335,7.325,7.325,7.32,7.325,7.33,7.33,7.335,7.33,7.335,7.335,7.33,7.325,7.33,7.34,7.335,7.335,7.345,7.35,7.345,7.34,7.335,7.33,7.325,7.33,7.32,7.315,7.315,7.31,7.31,7.315,7.315,7.315,7.315,7.315,7.32,7.32,7.325,7.325,7.325,7.325,7.325,7.335,7.34,7.345,7.355,7.35,7.34,7.335,7.335,7.33,7.325,7.325,7.33,7.33,7.335,7.33,7.325,7.325,7.345,7.35,7.345,7.345,7.345,7.34,7.345,7.335,7.335,7.335,7.33,7.33,7.33,7.33,7.325,7.325,7.32,7.315,7.335,7.335,7.335,7.33,7.33,7.325,7.33,7.325,7.325,7.325,7.325,7.325,7.33,7.325,7.315,7.315,7.31,7.32
,7.34,7.335,7.335,7.335,7.34,7.34,7.33,7.335,7.335,7.33,7.34,7.345,7.345,7.35,7.345,7.345,7.34,7.335,7.34,7.335,7.335,7.33,7.325,7.345,7.34,7.34,7.35,7.35,7.355,7.345,7.355,7.355,7.34,7.34,7.345,7.34,7.34,7.34,7.34,7.345,7.34,7.34,7.34,7.335,7.34,7.335,7.34,7.33,7.335,7.345,7.335,7.34,7.325,7.32,7.325,7.33,7.34,7.325,7.335,7.32,7.275,7.275,7.25,7.255,7.255,7.265,7.26,7.265,7.27,7.275,7.29,7.3,7.295,7.3,7.305,7.305,7.315,7.32,7.325,7.32,7.315,7.31,7.31,7.305,7.305,7.31,7.31,7.31,7.31,7.31,7.32,7.315,7.315,7.32,7.32,7.31,7.305,7.305,7.295,7.3,7.31,7.31,7.305,7.3,7.305,7.295,7.295,7.3,7.31,7.3,7.3,7.285,7.285,7.29,7.285,7.285,7.29,7.3,7.31,7.305
-80,7.285,7.28,7.285,7.275,7.275,7.28,7.27,7.265,7.285,7.27,7.27,7.27,7.265,7.265,7.255,7.26,7.26,7.26,7.26,7.255,7.25,7.265,7.265,7.265,7.265,7.265,7.275,7.285,7.285,7.285,7.285,7.285,7.28,7.28,7.27,7.265,7.27,7.275,7.275,7.27,7.265,7.265,7.26,7.255,7.26,7.26,7.255,7.255,7.255,7.26,7.27,7.27,7.275,7.275,7.28,7.275,7.275,7.27,7.27,7.265,7.27,7.28,7.285,7.285,7.28,7.285,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.275,7.27,7.27,7.27,7.275,7.27,7.27,7.27,7.275,7.275,7.275,7.27,7.26,7.265,7.265,7.25,7.25,7.25,7.255,7.265,7.265,7.26,7.255,7.25,7.25,7.255,7.255,7.25,7.255,7.245,7.245,7.25,7.245,7.245,7.24,7.24,7.235,7.25,7.25,7.25,7.25,7.25,7.25,7.26,7.265,7.26,7.255
,7.265,7.265,7.28,7.275,7.27,7.27,7.27,7.275,7.275,7.275,7.27,7.27,7.27,7.27,7.275,7.285,7.28,7.28,7.27,7.275,7.275,7.275,7.265,7.265,7.27,7.265,7.26,7.255,7.27,7.275,7.275,7.275,7.275,7.275,7.275,7.27,7.275,7.275,7.28,7.28,7.28,7.275,7.275,7.275,7.28,7.285,7.285,7.285,7.285,7.285,7.29,7.295,7.295,7.295,7.295,7.295,7.29,7.285,7.285,7.29,7.285,7.27,7.265,7.265,7.265,7.265,7.265,7.26,7.26,7.27,7.275,7.28,7.275,7.275,7.27,7.275,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.275,7.27,7.265,7.265,7.27,7.265,7.265,7.26,7.26,7.27,7.27,7.27,7.27,7.27,7.27,7.265,7.27,7.265,7.265,7.26,7.26,7.255,7.25,7.25,7.25,7.25,7.255,7.255,7.255,7.26,7.26,7.255,7.25,7.25,7.25,7.25
,7.25,7.255,7.25,7.25,7.255,7.255,7.255,7.26,7.255,7.255,7.255,7.26,7.265,7.265,7.27,7.265,7.265,7.26,7.26,7.255,7.255,7.25,7.25,7.255,7.26,7.265,7.26,7.265,7.26,7.255,7.25,7.25,7.25,7.25,7.245,7.24,7.235,7.23,7.24,7.25,7.245,7.245,7.25,7.26,7.255,7.255,7.26,7.26,7.26,7.255,7.25,7.25,7.255,7.25,7.255,7.26,7.255,7.255,7.265,7.265,7.27,7.27,7.27,7.26,7.255,7.26,7.265,7.26,7.255,7.255,7.25,7.255,7.265,7.27,7.265,7.265,7.265,7.26,7.26,7.265,7.275,7.275,7.27,7.27,7.27,7.27,7.265,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.255,7.26,7.26,7.26,7.265,7.26,7.255,7.26,7.26,7.26,7.26,7.255,7.26,7.265,7.27,7.27,7.27,7.27,7.265,7.27,7.27,7.275,7.275,7.27,7.265,7.26
-60,7.29,7.295,7.295,7.3,7.3,7.31,7.305,7.3,7.305,7.305,7.305,7.305,7.315,7.315,7.31,7.305,7.315,7.31,7.305,7.295,7.3,7.32,7.315,7.315,7.305,7.295,7.295,7.3,7.295,7.29,7.3,7.305,7.3,7.3,7.31,7.305,7.31,7.315,7.31,7.31,7.315,7.315,7.31,7.31,7.315,7.315,7.31,7.31,7.31,7.31,7.31,7.305,7.31,7.305,7.295,7.31,7.31,7.325,7.325,7.325,7.335,7.335,7.33,7.33,7.32,7.315,7.31,7.31,7.31,7.305,7.3,7.295,7.29,7.295,7.295,7.3,7.3,7.295,7.31,7.305,7.3,7.31,7.31,7.31,7.31,7.325,7.315,7.315,7.325,7.315,7.31,7.32,7.315,7.305,7.3,7.3,7.305,7.305,7.3,7.3,7.3,7.305,7.305,7.305,7.305,7.3,7.3,7.3,7.31,7.315,7.32,7.325,7.325,7.32,7.315,7.31,7.31,7.31,7.31,7.31
,7.33,7.325,7.32,7.315,7.31,7.31,7.315,7.315,7.32,7.32,7.31,7.32,7.315,7.315,7.315,7.315,7.315,7.315,7.31,7.31,7.3,7.295,7.305,7.3,7.295,7.295,7.295,7.295,7.29,7.285,7.29,7.29,7.285,7.285,7.285,7.28,7.285,7.29,7.29,7.295,7.295,7.3,7.3,7.295,7.3,7.3,7.295,7.295,7.295,7.295,7.29,7.29,7.29,7.29,7.29,7.295,7.295,7.295,7.295,7.29,7.29,7.295,7.305,7.305,7.305,7.3,7.305,7.3,7.295,7.295,7.295,7.3,7.305,7.31,7.31,7.31,7.305,7.305,7.305,7.305,7.31,7.315,7.32,7.32,7.32,7.32,7.32,7.315,7.315,7.315,7.31,7.315,7.315,7.31,7.31,7.315,7.315,7.315,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.305,7.305,7.31,7.31,7.305,7.3,7.295,7.285,7.285,7.29,7.295,7.295,7.3,7.305,7.305
,7.3,7.295,7.295,7.295,7.305,7.315,7.32,7.32,7.31,7.305,7.3,7.3,7.305,7.3,7.295,7.3,7.3,7.295,7.295,7.31,7.305,7.32,7.315,7.305,7.31,7.31,7.305,7.3,7.295,7.31,7.32,7.32,7.32,7.335,7.325,7.325,7.32,7.335,7.34,7.335,7.33,7.325,7.315,7.325,7.335,7.33,7.33,7.335,7.33,7.33,7.325,7.33,7.335,7.315,7.315,7.32,7.325,7.335,7.335,7.34,7.33,7.33,7.325,7.325,7.325,7.325,7.32,7.335,7.335,7.33,7.325,7.325,7.33,7.325,7.325,7.325,7.32,7.31,7.315,7.315,7.31,7.31,7.315,7.325,7.325,7.325,7.325,7.32,7.325,7.325,7.325,7.315,7.315,7.325,7.32,7.32,7.315,7.31,7.305,7.305,7.305,7.3,7.295,7.29,7.295,7.3,7.31,7.315,7.315,7.31,7.31,7.315,7.315,7.305,7.305,7.33,7.33,7.32,7.315,7.315
-40,6.57,7.365,6.56,6.555,6.55,6.55,6.555,6.56,6.56,7.36,6.565,6.56,6.565,6.565,6.565,6.57,6.57,6.57,6.565,6.57,6.565,6.56,6.56,7.355,7.355,6.555,7.355,6.56,6.565,6.565,6.56,6.555,6.55,6.55,6.555,6.555,6.545,6.55,6.55,7.355,6.555,6.555,6.555,6.55,6.56,6.56,7.355,6.555,7.35,6.55,6.55,6.545,6.54,6.545,6.545,6.54,6.535,6.535,6.535,6.54,6.545,6.55,6.555,6.56,6.565,6.57,6.57,6.565,6.555,7.355,6.56,6.565,6.565,6.565,6.565,6.565,6.565,7.36,6.56,7.36,7.36,7.36,7.365,6.57,6.57,6.57,6.565,6.56,6.56,6.56,6.57,6.565,6.56,6.56,6.55,6.555,6.555,6.55,6.545,7.335,6.535,6.53,6.53,6.54,6.54,6.545,6.54,6.54,6.545,6.55,6.54,6.54,6.54,6.545,6.545,6.54,6.535,6.535,6.54,6.54
